State Name,County Name,Place Name,Survey Date,Multifamily units,Multifamily valuation,Count of BPS_FINAL,Total Units,Total Value,Single family units,Units 1 Unit Rep,Units 2 Units,Units 2 Units Rep,Units 3 4 Units,Units 3 4 Units Rep,Units 5 Units,Units 5 Units Rep,Single family valuation,Value 1 Unit Rep,Value 2 Units,Value 2 Units Rep,Value 3 4 Units,Value 3 4 Units Rep,Value 5 Units,Value 5 Units Rep
California,Alameda County, ,1990,"1,074","83,197,188",1,"2,706","333,972,429","1,632","1,632",88,88,121,121,865,865,"250,775,241","250,775,241","6,020,684","6,020,684","8,692,763","8,692,763","68,483,741","68,483,741"
California,Alameda County, ,1991,"1,509","99,249,060",1,"2,828","323,572,789","1,319","1,292",64,60,112,112,"1,333","1,318","224,323,729","221,042,880","5,030,250","4,764,250","6,964,935","6,964,935","87,253,875","85,963,179"
California,Alameda County, ,1992,715,"56,987,787",1,"3,072","427,745,363","2,357","2,329",66,62,127,127,522,512,"370,757,576","366,881,488","5,379,792","5,113,792","12,933,328","12,933,328","38,674,667","37,814,203"
California,Alameda County, ,1993,570,"44,462,499",1,"2,206","364,873,159","1,636","1,626",44,44,36,36,490,490,"320,410,660","318,977,374","2,921,978","2,921,978","3,672,720","3,672,720","37,867,801","37,867,801"
California,Alameda County, ,1994,836,"78,015,762",1,"3,044","507,543,106","2,208","2,156",18,18,44,44,774,768,"429,527,344","421,408,570","1,709,310","1,709,310","4,590,591","4,590,591","71,715,861","71,416,585"
California,Alameda County, ,1995,524,"39,129,947",1,"2,801","478,361,574","2,277","2,233",16,16,57,57,451,451,"439,231,627","432,499,362","1,464,112","1,464,112","6,055,955","6,055,955","31,609,880","31,609,880"
California,Alameda County, ,1996,756,"69,312,662",1,"3,509","676,202,253","2,753","2,753",16,16,51,51,689,689,"606,889,591","606,889,591","1,478,531","1,478,531","5,520,694","5,520,694","62,313,437","62,313,437"
California,Alameda County, ,1997,"2,165","186,342,617",1,"6,277","1,031,428,548","4,112","4,112",26,26,114,114,"2,025","2,025","845,085,931","845,085,931","2,285,307","2,285,307","11,464,549","11,464,549","172,592,761","172,592,761"
California,Alameda County, ,1998,"2,036","189,758,495",1,"5,831","1,058,109,315","3,795","3,795",16,16,52,52,"1,968","1,968","868,350,820","868,350,820","1,589,458","1,589,458","4,153,786","4,153,786","184,015,251","184,015,251"
California,Alameda County, ,1999,"1,454","114,945,219",1,"6,397","857,782,719","4,943","4,861",22,22,25,25,"1,407","1,407","742,837,500","725,049,500","1,872,846","1,872,846","2,267,643","2,267,643","110,804,730","110,804,730"
California,Alameda County, ,2000,983,"106,227,257",1,"4,054","933,253,138","3,071","3,071",12,12,116,116,855,855,"827,025,881","827,025,881","1,111,212","1,111,212","9,708,402","9,708,402","95,407,643","95,407,643"
California,Alameda County, ,2001,"1,485","175,955,074",1,"3,249","665,960,564","1,764","1,764",38,38,45,45,"1,402","1,402","490,005,490","490,005,490","3,931,131","3,931,131","4,695,535","4,695,535","167,328,408","167,328,408"
California,Alameda County, ,2002,"1,054","133,011,768",1,"3,555","889,870,379","2,501","2,470",20,20,24,24,"1,010","1,010","756,858,611","746,838,499","3,094,694","3,094,694","4,530,610","4,530,610","125,386,464","125,386,464"
California,Alameda County, ,2003,"2,331","315,351,320",1,"4,469","942,388,232","2,138","2,138",48,48,74,74,"2,209","2,209","627,036,912","627,036,912","6,603,266","6,603,266","10,984,864","10,984,864","297,763,190","297,763,190"
California,Alameda County, ,2004,"3,069","431,651,165",1,"5,378","1,180,179,106","2,309","2,303",40,40,122,122,"2,907","2,907","748,527,941","746,664,399","6,055,100","6,055,100","19,203,731","19,203,731","406,392,334","406,392,334"
California,Alameda County, ,2005,"2,815","483,848,405",1,"4,376","1,008,661,533","1,561","1,561",12,12,63,63,"2,740","2,740","524,813,128","524,813,128","1,818,931","1,818,931","10,596,387","10,596,387","471,433,087","471,433,087"
California,Alameda County, ,2006,"4,641","624,954,872",1,"6,276","1,169,180,206","1,635","1,606",34,34,159,156,"4,448","4,433","544,225,334","531,679,772","5,735,976","5,735,976","33,793,225","33,394,522","585,425,671","582,690,346"
California,Alameda County, ,2007,"1,823","305,418,674",1,"3,138","724,659,182","1,315","1,256",12,8,81,66,"1,730","1,582","419,240,508","393,546,940","2,019,407","1,278,291","16,236,730","13,490,815","287,162,537","271,765,262"
California,Alameda County, ,2008,"1,153","150,997,021",1,"1,933","393,732,965",780,775,14,14,25,22,"1,114","1,114","242,735,944","240,440,814","3,735,255","3,735,255","3,866,811","3,273,836","143,394,955","143,394,955"
California,Alameda County, ,2009,522,"99,389,994",1,"1,333","328,890,312",811,811,18,18,23,23,481,481,"229,500,318","229,500,318","2,311,937","2,311,937","4,362,570","4,362,570","92,715,487","92,715,487"
California,Alameda County, ,2010,848,"136,385,936",1,"1,727","397,632,529",879,867,44,44,29,29,775,759,"261,246,593","257,951,599","8,861,613","8,861,613","7,286,206","7,286,206","120,238,117","118,245,602"
California,Alameda County, ,2011,"1,352","249,136,052",1,"2,172","516,025,562",820,790,26,26,23,23,"1,303","1,303","266,889,510","256,524,906","6,945,476","6,945,476","6,104,612","6,104,612","236,085,964","236,085,964"
California,Alameda County, ,2012,"1,372","283,538,581",1,"2,745","758,613,275","1,373","1,330",104,104,47,47,"1,221","1,216","475,074,694","460,474,071","21,543,714","21,543,714","11,006,111","11,006,111","250,988,756","250,320,736"
California,Alameda County, ,2013,"1,690","292,555,577",1,"3,081","796,597,852","1,391","1,331",84,68,14,11,"1,592","1,485","504,042,275","483,939,576","16,377,395","13,220,265","2,909,000","2,309,516","273,269,182","255,649,653"
California,Alameda County, ,2014,"1,825","314,871,448",1,"3,438","889,511,669","1,613","1,613",4,4,41,41,"1,780","1,780","574,640,221","574,640,221","560,000","560,000","9,952,342","9,952,342","304,359,106","304,359,106"
California,Alameda County, ,2015,"3,196","513,203,147",1,"5,101","1,186,659,834","1,905","1,905",14,14,75,75,"3,107","3,107","673,456,687","673,456,687","3,432,288","3,432,288","15,592,144","15,592,144","494,178,715","494,178,715"
California,Alameda County, ,2016,"3,294","621,203,313",1,"5,692","1,460,017,786","2,398","2,382",22,22,85,85,"3,187","2,846","838,814,473","834,015,181","5,764,578","5,764,578","20,705,518","20,705,518","594,733,217","544,079,260"
California,Alameda County, ,2017,"6,663","1,438,504,818",1,"9,258","2,335,440,977","2,595","2,455",26,26,144,135,"6,493","6,102","896,936,159","851,689,038","7,403,231","7,403,231","36,350,407","33,780,274","1,394,751,180","1,324,216,950"
California,Alameda County, ,2018,"6,091","1,352,542,307",1,"8,056","2,034,825,812","1,965","1,626",58,52,209,188,"5,824","5,472","682,283,505","574,704,195","15,404,454","13,629,849","58,855,995","53,149,722","1,278,281,858","1,192,042,148"
California,Alameda County, ,2019,"4,430","850,352,641",1,"6,402","1,485,707,291","1,972","1,706",56,56,101,79,"4,273","4,118","635,354,650","553,939,888","14,676,332","14,676,332","25,443,907","19,161,360","810,232,402","769,905,305"
California,Alameda County, ,2020,"2,778","730,025,960",1,"4,120","1,157,616,092","1,342",835,36,30,81,55,"2,661","2,362","427,590,132","256,671,363","10,203,783","8,482,574","19,700,152","12,275,324","700,122,025","633,253,197"
California,Alpine County, ,1990,0,0,1,15,"2,173,339",15,14,0,0,0,0,0,0,"2,173,339","2,024,386",0,0,0,0,0,0
California,Alpine County, ,1991,0,0,1,10,"2,207,787",10,10,0,0,0,0,0,0,"2,207,787","2,207,787",0,0,0,0,0,0
California,Alpine County, ,1992,0,0,1,16,"3,989,343",16,16,0,0,0,0,0,0,"3,989,343","3,989,343",0,0,0,0,0,0
California,Alpine County, ,1993,10,"1,628,107",1,21,"3,869,158",11,11,0,0,0,0,10,10,"2,241,051","2,241,051",0,0,0,0,"1,628,107","1,628,107"
California,Alpine County, ,1994,2,"573,345",1,20,"6,003,784",18,18,2,2,0,0,0,0,"5,430,439","5,430,439","573,345","573,345",0,0,0,0
California,Alpine County, ,1995,0,0,1,20,"4,747,266",20,20,0,0,0,0,0,0,"4,747,266","4,747,266",0,0,0,0,0,0
California,Alpine County, ,1996,19,"7,241,766",1,32,"12,807,010",13,13,0,0,0,0,19,19,"5,565,244","5,565,244",0,0,0,0,"7,241,766","7,241,766"
California,Alpine County, ,1997,0,0,1,9,"3,281,752",9,9,0,0,0,0,0,0,"3,281,752","3,281,752",0,0,0,0,0,0
California,Alpine County, ,1998,40,"9,093,045",1,66,"17,338,423",26,26,0,0,0,0,40,40,"8,245,378","8,245,378",0,0,0,0,"9,093,045","9,093,045"
California,Alpine County, ,1999,30,"8,968,600",1,59,"18,788,745",29,29,0,0,0,0,30,30,"9,820,145","9,820,145",0,0,0,0,"8,968,600","8,968,600"
California,Alpine County, ,2000,0,"3,154,281",1,25,"13,345,962",25,25,0,0,0,0,0,0,"10,191,681","10,191,681",0,0,0,0,"3,154,281","3,154,281"
California,Alpine County, ,2001,26,"12,010,753",1,54,"24,005,082",28,28,0,0,0,0,26,26,"11,994,329","11,994,329",0,0,0,0,"12,010,753","12,010,753"
California,Alpine County, ,2002,36,"18,205,591",1,62,"26,859,033",26,26,0,0,0,0,36,36,"8,653,442","8,653,442",0,0,0,0,"18,205,591","18,205,591"
California,Alpine County, ,2003,7,"3,483,979",1,28,"12,116,935",21,21,0,0,0,0,7,7,"8,632,956","8,632,956",0,0,0,0,"3,483,979","3,483,979"
California,Alpine County, ,2004,0,0,1,22,"10,609,053",22,22,0,0,0,0,0,0,"10,609,053","10,609,053",0,0,0,0,0,0
California,Alpine County, ,2005,0,0,1,16,"6,325,372",16,16,0,0,0,0,0,0,"6,325,372","6,325,372",0,0,0,0,0,0
California,Alpine County, ,2006,0,0,1,31,"15,685,261",31,31,0,0,0,0,0,0,"15,685,261","15,685,261",0,0,0,0,0,0
California,Alpine County, ,2007,20,"6,921,542",1,35,"17,649,523",15,15,0,0,0,0,20,20,"10,727,981","10,727,981",0,0,0,0,"6,921,542","6,921,542"
California,Alpine County, ,2008,0,0,1,8,"4,176,362",8,8,0,0,0,0,0,0,"4,176,362","4,176,362",0,0,0,0,0,0
California,Alpine County, ,2009,0,0,1,7,"2,324,527",7,7,0,0,0,0,0,0,"2,324,527","2,324,527",0,0,0,0,0,0
California,Alpine County, ,2010,0,0,1,4,"1,236,638",4,4,0,0,0,0,0,0,"1,236,638","1,236,638",0,0,0,0,0,0
California,Alpine County, ,2011,0,0,1,3,"1,625,233",3,3,0,0,0,0,0,0,"1,625,233","1,625,233",0,0,0,0,0,0
California,Alpine County, ,2012,0,0,1,1,"295,805",1,1,0,0,0,0,0,0,"295,805","295,805",0,0,0,0,0,0
California,Alpine County, ,2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Alpine County, ,2014,0,0,1,3,"1,485,659",3,3,0,0,0,0,0,0,"1,485,659","1,485,659",0,0,0,0,0,0
California,Alpine County, ,2015,0,0,1,4,"1,953,127",4,4,0,0,0,0,0,0,"1,953,127","1,953,127",0,0,0,0,0,0
California,Alpine County, ,2016,0,0,1,2,"429,566",2,2,0,0,0,0,0,0,"429,566","429,566",0,0,0,0,0,0
California,Alpine County, ,2017,0,0,1,9,"3,368,473",9,9,0,0,0,0,0,0,"3,368,473","3,368,473",0,0,0,0,0,0
California,Alpine County, ,2018,0,0,1,4,"1,256,629",4,4,0,0,0,0,0,0,"1,256,629","1,256,629",0,0,0,0,0,0
California,Alpine County, ,2019,0,0,1,5,"2,313,746",5,5,0,0,0,0,0,0,"2,313,746","2,313,746",0,0,0,0,0,0
California,Alpine County, ,2020,0,0,1,8,"2,298,588",8,8,0,0,0,0,0,0,"2,298,588","2,298,588",0,0,0,0,0,0
California,Amador County, ,1990,18,"954,361",1,353,"35,119,041",335,311,6,6,12,0,0,0,"34,164,680","31,829,673","381,617","381,617","572,744",0,0,0
California,Amador County, ,1991,21,"1,002,302",1,412,"41,342,799",391,370,0,0,21,0,0,0,"40,340,497","38,282,973",0,0,"1,002,302",0,0,0
California,Amador County, ,1992,25,"1,249,872",1,351,"35,142,072",326,289,6,6,19,0,0,0,"33,892,200","30,448,305","343,028","343,028","906,844",0,0,0
California,Amador County, ,1993,37,"1,917,685",1,302,"28,951,859",265,178,8,8,29,0,0,0,"27,034,174","19,435,098","533,560","533,560","1,384,125",0,0,0
California,Amador County, ,1994,10,"493,527",1,163,"16,552,207",153,151,6,6,4,4,0,0,"16,058,680","15,865,717","290,557","290,557","202,970","202,970",0,0
California,Amador County, ,1995,0,0,1,192,"21,115,485",192,191,0,0,0,0,0,0,"21,115,485","21,052,570",0,0,0,0,0,0
California,Amador County, ,1996,4,"359,310",1,135,"15,436,101",131,121,4,4,0,0,0,0,"15,076,791","13,979,612","359,310","359,310",0,0,0,0
California,Amador County, ,1997,6,"570,963",1,118,"12,621,584",112,66,6,6,0,0,0,0,"12,050,621","7,001,041","570,963","570,963",0,0,0,0
California,Amador County, ,1998,0,0,1,148,"16,972,698",148,148,0,0,0,0,0,0,"16,972,698","16,972,698",0,0,0,0,0,0
California,Amador County, ,1999,16,"1,190,053",1,203,"21,710,322",187,147,12,12,4,4,0,0,"20,520,269","16,921,648","944,309","944,309","245,744","245,744",0,0
California,Amador County, ,2000,8,"804,137",1,253,"33,164,947",245,179,8,8,0,0,0,0,"32,360,810","23,204,398","804,137","804,137",0,0,0,0
California,Amador County, ,2001,4,"441,907",1,221,"27,839,548",217,213,4,2,0,0,0,0,"27,397,641","26,678,124","441,907","244,864",0,0,0,0
California,Amador County, ,2002,4,"409,232",1,291,"34,062,114",287,286,4,4,0,0,0,0,"33,652,882","33,402,882","409,232","409,232",0,0,0,0
California,Amador County, ,2003,22,"1,646,858",1,402,"47,404,033",380,380,6,6,16,16,0,0,"45,757,175","45,757,175","591,150","591,150","1,055,708","1,055,708",0,0
California,Amador County, ,2004,61,"4,840,415",1,448,"59,817,402",387,341,20,16,12,12,29,29,"54,976,987","49,200,820","2,191,650","1,761,939","742,763","742,763","1,906,002","1,906,002"
California,Amador County, ,2005,8,"769,196",1,412,"60,975,851",404,310,8,0,0,0,0,0,"60,206,655","47,575,429","769,196",0,0,0,0,0
California,Amador County, ,2006,14,"1,561,941",1,235,"38,011,259",221,188,10,0,4,4,0,0,"36,449,318","31,932,365","961,495",0,"600,446","600,446",0,0
California,Amador County, ,2007,0,0,1,159,"29,169,731",159,158,0,0,0,0,0,0,"29,169,731","29,083,360",0,0,0,0,0,0
California,Amador County, ,2008,2,"370,444",1,82,"14,613,848",80,80,2,2,0,0,0,0,"14,243,404","14,243,404","370,444","370,444",0,0,0,0
California,Amador County, ,2009,0,0,1,57,"8,734,507",57,57,0,0,0,0,0,0,"8,734,507","8,734,507",0,0,0,0,0,0
California,Amador County, ,2010,0,0,1,29,"4,113,905",29,27,0,0,0,0,0,0,"4,113,905","3,834,718",0,0,0,0,0,0
California,Amador County, ,2011,0,0,1,80,"11,315,952",80,79,0,0,0,0,0,0,"11,315,952","11,164,628",0,0,0,0,0,0
California,Amador County, ,2012,0,0,1,110,"16,234,722",110,110,0,0,0,0,0,0,"16,234,722","16,234,722",0,0,0,0,0,0
California,Amador County, ,2013,0,0,1,14,"4,868,209",14,14,0,0,0,0,0,0,"4,868,209","4,868,209",0,0,0,0,0,0
California,Amador County, ,2014,0,0,1,22,"4,926,046",22,19,0,0,0,0,0,0,"4,926,046","3,854,912",0,0,0,0,0,0
California,Amador County, ,2015,0,0,1,27,"5,771,626",27,5,0,0,0,0,0,0,"5,771,626","656,914",0,0,0,0,0,0
California,Amador County, ,2016,0,0,1,41,"7,138,666",41,36,0,0,0,0,0,0,"7,138,666","6,421,636",0,0,0,0,0,0
California,Amador County, ,2017,15,"1,252,921",1,131,"25,699,730",116,116,0,0,4,4,11,11,"24,446,809","24,446,809",0,0,"302,989","302,989","949,932","949,932"
California,Amador County, ,2018,0,0,1,172,"40,249,994",172,172,0,0,0,0,0,0,"40,249,994","40,249,994",0,0,0,0,0,0
California,Amador County, ,2019,0,0,1,119,"34,449,077",119,119,0,0,0,0,0,0,"34,449,077","34,449,077",0,0,0,0,0,0
California,Amador County, ,2020,0,0,1,103,"25,241,507",103,34,0,0,0,0,0,0,"25,241,507","8,202,161",0,0,0,0,0,0
California,Butte County, ,1990,759,"33,642,388",1,"1,912","141,182,300","1,153","1,153",32,32,229,229,498,498,"107,539,912","107,539,912","1,602,846","1,602,846","9,837,534","9,837,534","22,202,008","22,202,008"
California,Butte County, ,1991,526,"29,587,954",1,"1,498","127,745,389",972,972,60,60,111,111,355,355,"98,157,435","98,157,435","3,252,537","3,252,537","5,047,753","5,047,753","21,287,664","21,287,664"
California,Butte County, ,1992,51,"2,723,179",1,893,"93,548,285",842,842,28,28,23,23,0,0,"90,825,106","90,825,106","1,319,259","1,319,259","1,403,920","1,403,920",0,0
California,Butte County, ,1993,98,"5,076,240",1,736,"74,896,710",638,638,6,6,12,12,80,80,"69,820,470","69,820,470","352,260","352,260","869,093","869,093","3,854,887","3,854,887"
California,Butte County, ,1994,232,"8,856,915",1,924,"87,199,026",692,692,10,10,10,10,212,212,"78,342,111","78,342,111","503,547","503,547","485,617","485,617","7,867,751","7,867,751"
California,Butte County, ,1995,76,"2,878,103",1,728,"67,356,273",652,652,8,8,48,48,20,20,"64,478,170","64,478,170","383,862","383,862","1,900,312","1,900,312","593,929","593,929"
California,Butte County, ,1996,59,"2,556,130",1,673,"68,208,148",614,614,4,4,28,28,27,27,"65,652,018","65,652,018","232,205","232,205","982,800","982,800","1,341,125","1,341,125"
California,Butte County, ,1997,22,"1,615,514",1,648,"70,554,883",626,626,8,8,8,8,6,6,"68,939,369","68,939,369","569,994","569,994","559,304","559,304","486,216","486,216"
California,Butte County, ,1998,88,"7,229,733",1,969,"107,250,011",881,872,0,0,4,4,84,84,"100,020,278","99,083,712",0,0,"269,068","269,068","6,960,665","6,960,665"
California,Butte County, ,1999,5,"156,850",1,"1,028","117,289,823","1,023","1,016",2,2,3,3,0,0,"117,132,973","116,404,532","99,474","99,474","57,376","57,376",0,0
California,Butte County, ,2000,169,"11,793,594",1,"1,134","130,379,795",965,965,0,0,0,0,169,169,"118,586,201","118,586,201",0,0,0,0,"11,793,594","11,793,594"
California,Butte County, ,2001,70,"5,111,262",1,"1,093","131,931,298","1,023","1,018",34,34,13,13,23,23,"126,820,036","126,425,036","2,060,523","2,060,523","1,116,609","1,116,609","1,934,130","1,934,130"
California,Butte County, ,2002,34,"2,200,607",1,"1,186","138,661,721","1,152","1,152",8,8,26,26,0,0,"136,461,114","136,461,114","522,582","522,582","1,678,025","1,678,025",0,0
California,Butte County, ,2003,328,"26,559,789",1,"1,769","208,372,035","1,441","1,441",6,6,62,62,260,260,"181,812,246","181,812,246","370,349","370,349","5,662,886","5,662,886","20,526,554","20,526,554"
California,Butte County, ,2004,491,"38,710,879",1,"1,989","217,023,629","1,498","1,498",48,48,90,90,353,353,"178,312,750","178,312,750","3,647,757","3,647,757","6,045,242","6,045,242","29,017,880","29,017,880"
California,Butte County, ,2005,200,"15,338,163",1,"1,693","214,939,095","1,493","1,493",98,98,96,96,6,6,"199,600,932","199,600,932","8,402,184","8,402,184","6,651,269","6,651,269","284,710","284,710"
California,Butte County, ,2006,93,"7,738,770",1,"1,282","170,298,754","1,189","1,189",12,12,31,31,50,50,"162,559,984","162,559,984","1,310,002","1,310,002","3,253,600","3,253,600","3,175,168","3,175,168"
California,Butte County, ,2007,181,"15,793,543",1,985,"130,063,130",804,728,2,2,31,31,148,148,"114,269,587","97,921,525","230,299","230,299","3,158,419","3,158,419","12,404,825","12,404,825"
California,Butte County, ,2008,60,"6,194,915",1,592,"76,635,571",532,532,6,6,29,29,25,25,"70,440,656","70,440,656","603,702","603,702","2,989,348","2,989,348","2,601,865","2,601,865"
California,Butte County, ,2009,54,"4,786,658",1,360,"59,395,187",306,306,2,2,4,4,48,48,"54,608,529","54,608,529","251,517","251,517","426,465","426,465","4,108,676","4,108,676"
California,Butte County, ,2010,355,"31,696,166",1,512,"61,181,931",157,157,0,0,58,58,297,297,"29,485,765","29,485,765",0,0,"4,785,790","4,785,790","26,910,376","26,910,376"
California,Butte County, ,2011,38,"2,911,897",1,240,"42,691,853",202,202,0,0,0,0,38,38,"39,779,956","39,779,956",0,0,0,0,"2,911,897","2,911,897"
California,Butte County, ,2012,138,"17,106,064",1,351,"61,207,212",213,213,0,0,7,7,131,131,"44,101,148","44,101,148",0,0,"1,036,712","1,036,712","16,069,352","16,069,352"
California,Butte County, ,2013,213,"22,750,937",1,520,"90,740,768",307,307,16,16,19,19,178,178,"67,989,831","67,989,831","2,085,263","2,085,263","2,115,193","2,115,193","18,550,481","18,550,481"
California,Butte County, ,2014,195,"18,880,275",1,550,"92,522,396",355,355,6,6,6,6,183,183,"73,642,121","73,642,121","510,306","510,306","648,410","648,410","17,721,559","17,721,559"
California,Butte County, ,2015,265,"25,165,626",1,621,"124,758,217",356,356,14,14,36,36,215,215,"99,592,591","99,592,591","1,510,202","1,510,202","3,358,203","3,358,203","20,297,221","20,297,221"
California,Butte County, ,2016,252,"28,031,315",1,697,"95,200,826",445,445,0,0,39,39,213,213,"67,169,511","67,169,511",0,0,"3,196,165","3,196,165","24,835,150","24,835,150"
California,Butte County, ,2017,366,"45,589,085",1,823,"144,286,531",457,457,8,8,3,3,355,355,"98,697,446","98,697,446","1,114,568","1,114,568","370,190","370,190","44,104,327","44,104,327"
California,Butte County, ,2018,108,"12,499,351",1,703,"141,164,321",595,569,22,22,12,12,74,74,"128,664,970","121,979,677","2,459,180","2,459,180","1,466,828","1,466,828","8,573,343","8,573,343"
California,Butte County, ,2019,541,"65,503,948",1,"1,426","257,773,412",885,665,6,6,64,64,471,471,"192,269,464","148,567,244","915,104","915,104","6,307,007","6,307,007","58,281,837","58,281,837"
California,Butte County, ,2020,407,"50,147,187",1,"1,837","345,502,967","1,430","1,189",82,82,95,95,230,230,"295,355,780","247,481,984","10,708,887","10,708,887","13,209,826","13,209,826","26,228,474","26,228,474"
California,Calaveras County, ,1990,6,"438,517",1,645,"75,549,723",639,639,6,6,0,0,0,0,"75,111,206","75,111,206","438,517","438,517",0,0,0,0
California,Calaveras County, ,1991,48,"1,174,301",1,532,"54,577,658",484,481,0,0,48,48,0,0,"53,403,357","53,104,096",0,0,"1,174,301","1,174,301",0,0
California,Calaveras County, ,1992,0,0,1,418,"52,605,341",418,418,0,0,0,0,0,0,"52,605,341","52,605,341",0,0,0,0,0,0
California,Calaveras County, ,1993,4,"320,664",1,372,"46,663,076",368,368,0,0,4,4,0,0,"46,342,412","46,342,412",0,0,"320,664","320,664",0,0
California,Calaveras County, ,1994,0,0,1,363,"46,218,350",363,363,0,0,0,0,0,0,"46,218,350","46,218,350",0,0,0,0,0,0
California,Calaveras County, ,1995,27,"1,385,014",1,287,"36,808,209",260,260,0,0,27,27,0,0,"35,423,195","35,423,195",0,0,"1,385,014","1,385,014",0,0
California,Calaveras County, ,1996,0,0,1,228,"34,002,975",228,228,0,0,0,0,0,0,"34,002,975","34,002,975",0,0,0,0,0,0
California,Calaveras County, ,1997,12,"663,326",1,260,"39,380,532",248,248,0,0,0,0,12,12,"38,717,206","38,717,206",0,0,0,0,"663,326","663,326"
California,Calaveras County, ,1998,20,"950,205",1,285,"43,258,192",265,265,4,4,0,0,16,16,"42,307,987","42,307,987","286,879","286,879",0,0,"663,326","663,326"
California,Calaveras County, ,1999,0,0,1,302,"55,098,306",302,302,0,0,0,0,0,0,"55,098,306","55,098,306",0,0,0,0,0,0
California,Calaveras County, ,2000,0,0,1,425,"84,327,049",425,408,0,0,0,0,0,0,"84,327,049","81,166,999",0,0,0,0,0,0
California,Calaveras County, ,2001,4,"478,527",1,546,"106,591,361",542,524,4,4,0,0,0,0,"106,112,834","102,744,071","478,527","478,527",0,0,0,0
California,Calaveras County, ,2002,0,0,1,520,"114,293,105",520,520,0,0,0,0,0,0,"114,293,105","114,293,105",0,0,0,0,0,0
California,Calaveras County, ,2003,10,"1,090,863",1,691,"162,653,053",681,681,0,0,4,4,6,6,"161,562,190","161,562,190",0,0,"767,931","767,931","322,932","322,932"
California,Calaveras County, ,2004,6,"690,252",1,830,"210,010,371",824,824,6,6,0,0,0,0,"209,320,119","209,320,119","690,252","690,252",0,0,0,0
California,Calaveras County, ,2005,11,"1,286,154",1,862,"227,121,777",851,851,8,8,3,3,0,0,"225,835,623","225,835,623","956,209","956,209","329,945","329,945",0,0
California,Calaveras County, ,2006,0,0,1,497,"148,699,669",497,497,0,0,0,0,0,0,"148,699,669","148,699,669",0,0,0,0,0,0
California,Calaveras County, ,2007,15,"2,108,215",1,277,"71,725,621",262,262,2,2,3,3,10,10,"69,617,406","69,617,406","261,725","261,725","462,744","462,744","1,383,746","1,383,746"
California,Calaveras County, ,2008,0,0,1,126,"35,077,146",126,126,0,0,0,0,0,0,"35,077,146","35,077,146",0,0,0,0,0,0
California,Calaveras County, ,2009,0,0,1,58,"18,133,983",58,58,0,0,0,0,0,0,"18,133,983","18,133,983",0,0,0,0,0,0
California,Calaveras County, ,2010,0,0,1,45,"13,647,555",45,45,0,0,0,0,0,0,"13,647,555","13,647,555",0,0,0,0,0,0
California,Calaveras County, ,2011,0,0,1,29,"8,640,126",29,29,0,0,0,0,0,0,"8,640,126","8,640,126",0,0,0,0,0,0
California,Calaveras County, ,2012,0,0,1,29,"7,480,843",29,29,0,0,0,0,0,0,"7,480,843","7,480,843",0,0,0,0,0,0
California,Calaveras County, ,2013,0,0,1,43,"11,735,136",43,43,0,0,0,0,0,0,"11,735,136","11,735,136",0,0,0,0,0,0
California,Calaveras County, ,2014,0,0,1,70,"20,733,165",70,70,0,0,0,0,0,0,"20,733,165","20,733,165",0,0,0,0,0,0
California,Calaveras County, ,2015,0,0,1,102,"30,426,901",102,102,0,0,0,0,0,0,"30,426,901","30,426,901",0,0,0,0,0,0
California,Calaveras County, ,2016,0,0,1,182,"48,933,657",182,182,0,0,0,0,0,0,"48,933,657","48,933,657",0,0,0,0,0,0
California,Calaveras County, ,2017,0,0,1,140,"40,921,843",140,140,0,0,0,0,0,0,"40,921,843","40,921,843",0,0,0,0,0,0
California,Calaveras County, ,2018,0,0,1,112,"29,518,251",112,112,0,0,0,0,0,0,"29,518,251","29,518,251",0,0,0,0,0,0
California,Calaveras County, ,2019,0,0,1,117,"28,311,027",117,117,0,0,0,0,0,0,"28,311,027","28,311,027",0,0,0,0,0,0
California,Calaveras County, ,2020,0,0,1,132,"40,762,906",132,132,0,0,0,0,0,0,"40,762,906","40,762,906",0,0,0,0,0,0
California,Colusa County, ,1990,11,"413,605",1,99,"6,253,836",88,88,0,0,11,11,0,0,"5,840,231","5,840,231",0,0,"413,605","413,605",0,0
California,Colusa County, ,1991,4,"193,256",1,117,"9,690,310",113,113,0,0,4,4,0,0,"9,497,054","9,497,054",0,0,"193,256","193,256",0,0
California,Colusa County, ,1992,30,"1,423,974",1,116,"9,094,663",86,86,2,2,28,28,0,0,"7,670,689","7,670,689","115,239","115,239","1,308,735","1,308,735",0,0
California,Colusa County, ,1993,46,"1,879,431",1,122,"7,922,080",76,76,8,8,28,28,10,10,"6,042,649","6,042,649","504,775","504,775","974,850","974,850","399,806","399,806"
California,Colusa County, ,1994,4,"211,512",1,77,"7,609,526",73,71,4,4,0,0,0,0,"7,398,014","7,270,763","211,512","211,512",0,0,0,0
California,Colusa County, ,1995,4,"211,512",1,64,"8,361,278",60,49,4,0,0,0,0,0,"8,149,766","6,866,959","211,512",0,0,0,0,0
California,Colusa County, ,1996,0,0,1,35,"3,333,754",35,35,0,0,0,0,0,0,"3,333,754","3,333,754",0,0,0,0,0,0
California,Colusa County, ,1997,0,0,1,46,"4,767,951",46,38,0,0,0,0,0,0,"4,767,951","3,842,597",0,0,0,0,0,0
